Title;Year;Runtime;imdbID;imdbRating
Some Like It Hot;1959;121;tt0053291;8.2
Yojimbo;1961;110;tt0055630;8.3
Downfall;2004;156;tt0363163;8.2
Unforgiven;1992;130;tt0105695;8.2
Die Hard;1988;132;tt0095016;8.2
Heat;1995;170;tt0113277;8.2
The Treasure of the Sierra Madre;1948;126;tt0040897;8.2
Incendies;2010;131;tt1255953;8.3
Ikiru;1952;143;tt0044741;8.3
Green Book;2018;130;tt6966692;8.3
Raging Bull;1980;129;tt0081398;8.2
The Great Escape;1963;172;tt0057115;8.2
Children of Heaven;1997;89;tt0118849;8.3
Pan's Labyrinth;2006;118;tt0457430;8.2
Chinatown;1974;130;tt0071315;8.2
My Neighbor Totoro;1988;86;tt0096283;8.2
The Third Man;1949;93;tt0041959;8.2
Howl's Moving Castle;2004;119;tt0347149;8.2
My Father and My Son;2005;108;tt0476735;8.4
Ran;1985;162;tt0089881;8.2
Judgment at Nuremberg;1961;186;tt0055031;8.2
The Secret in Their Eyes;2009;129;tt1305806;8.2
The Gold Rush;1925;95;tt0015864;8.2
A Beautiful Mind;2001;135;tt0268978;8.2
The Bridge on the River Kwai;1957;161;tt0050212;8.2
Lock, Stock and Two Smoking Barrels;1998;107;tt0120735;8.2
Casino;1995;178;tt0112641;8.2
The Seventh Seal;1957;96;tt0050976;8.2
On the Waterfront;1954;108;tt0047296;8.2
Three Billboards Outside Ebbing, Missouri;2017;115;tt5027774;8.2
The Wolf of Wall Street;2013;180;tt0993846;8.2
The Elephant Man;1980;124;tt0080678;8.2
Inside Out;2015;95;tt2096673;8.2
V for Vendetta;2005;132;tt0434409;8.2
Mr. Smith Goes to Washington;1939;129;tt0031679;8.2
Room;2015;118;tt3170832;8.2
Warrior;2011;140;tt1291584;8.2
Blade Runner;1982;117;tt0083658;8.2
Dial M for Murder;1954;105;tt0046912;8.2
No Country for Old Men;2007;122;tt0477348;8.1
There Will Be Blood;2007;158;tt0469494;8.2
Andhadhun;2018;139;tt8108198;8.5
Wild Strawberries;1957;91;tt0050986;8.2
The General;1926;67;tt0017925;8.2
The Sixth Sense;1999;107;tt0167404;8.1
Trainspotting;1996;93;tt0117951;8.2
Gone with the Wind;1939;238;tt0031381;8.2
The Thing;1982;109;tt0084787;8.1
Fargo;1996;98;tt0116282;8.1
Come and See;1985;142;tt0091251;8.2
Gran Torino;2008;116;tt1205489;8.1
Finding Nemo;2003;100;tt0266543;8.1
The Deer Hunter;1978;183;tt0077416;8.1
Shutter Island;2010;138;tt1130884;8.1
The Big Lebowski;1998;117;tt0118715;8.1
Kill Bill: Vol. 1;2003;111;tt0266697;8.1
Sherlock Jr.;1924;45;tt0015324;8.2
Cool Hand Luke;1967;126;tt0061512;8.1
Tokyo Story;1953;136;tt0046438;8.2
Mary and Max;2009;92;tt0978762;8.1
Rebecca;1940;130;tt0032976;8.1
Hacksaw Ridge;2016;139;tt2119532;8.1
Jurassic Park;1993;127;tt0107290;8.1
How to Train Your Dragon;2010;98;tt0892769;8.1
Gone Girl;2014;149;tt2267998;8.1
Wild Tales;2014;122;tt3011894;8.1
The Truman Show;1998;103;tt0120382;8.1
Sunrise;1927;94;tt0018455;8.2
Stalker;1979;162;tt0079944;8.1
The Grand Budapest Hotel;2014;99;tt2278388;8.1
In the Name of the Father;1993;133;tt0107207;8.1
Stand by Me;1986;89;tt0092005;8.1
It Happened One Night;1934;105;tt0025316;8.1
Into the Wild;2007;148;tt0758758;8.1
Platoon;1986;120;tt0091763;8.1
Memories of Murder;2003;132;tt0353969;8.1
Network;1976;121;tt0074958;8.1
Monty Python's Life of Brian;1979;94;tt0079470;8.1
Ben-Hur;1959;212;tt0052618;8.1
Persona;1966;83;tt0060827;8.1
12 Years a Slave;2013;134;tt2024544;8.1
Million Dollar Baby;2004;132;tt0405159;8.1
Hotel Rwanda;2004;121;tt0395169;8.1
Before Sunrise;1995;101;tt0112471;8.1
The Bandit;1996;128;tt0116231;8.3
Neon Genesis Evangelion: The End of Evangelion;1997;90;tt0169858;8.2
Prisoners;2013;153;tt1392214;8.1
Mad Max: Fury Road;2015;120;tt1392190;8.1
The Wages of Fear;1953;131;tt0046268;8.1
Rush;2013;123;tt1979320;8.1
Hachi: A Dog's Tale;2009;93;tt1028532;8.1
Logan;2017;137;tt3315342;8.1
The 400 Blows;1959;99;tt0053198;8.1
Andrei Rublev;1966;205;tt0060107;8.2
Catch Me If You Can;2002;141;tt0264464;8.1
Spotlight;2015;129;tt1895587;8.1
The Passion of Joan of Arc;1928;114;tt0019254;8.1
Amores Perros;2000;154;tt0245712;8.1
Harry Potter and the Deathly Hallows: Part 2;2011;130;tt1201607;8.1
Nausicaa of the Valley of the Wind;1984;117;tt0087544;8.1
The Princess Bride;1987;98;tt0093779;8.1
Barry Lyndon;1975;185;tt0072684;8.1
Rocky;1976;120;tt0075148;8.1
Butch Cassidy and the Sundance Kid;1969;110;tt0064115;8.1
Rang De Basanti;2006;157;tt0405508;8.2
Monsters, Inc.;2001;92;tt0198781;8.1
Dead Poets Society;1989;128;tt0097165;8.1
The Grapes of Wrath;1940;129;tt0032551;8.1
The Maltese Falcon;1941;100;tt0033870;8.1
The Terminator;1984;107;tt0088247;8
Raise the Red Lantern;1991;125;tt0101640;8.2
The Handmaiden;2016;145;tt4016934;8.1
Gandhi;1982;191;tt0083987;8.1
La Haine;1995;98;tt0113247;8.1
Donnie Darko;2001;113;tt0246578;8.1
In the Mood for Love;2000;98;tt0118694;8.1
Diabolique;1955;117;tt0046911;8.1
Groundhog Day;1993;101;tt0107048;8
The Help;2011;146;tt1454029;8.1
The Wizard of Oz;1939;102;tt0032138;8
Jaws;1975;124;tt0073195;8
Guardians of the Galaxy;2014;121;tt2015381;8.1
Before Sunset;2004;80;tt0381681;8.1
Castle in the Sky;1986;125;tt0092067;8.1
Paris, Texas;1984;145;tt0087884;8.1
Pirates of the Caribbean: The Curse of the Black Pearl;2003;143;tt0325980;8
The Nights of Cabiria;1957;110;tt0050783;8.1
Beauty and the Beast;1991;84;tt0101414;8
The Exorcist;1973;122;tt0070047;8
Three Colors: Red;1994;99;tt0111495;8.1
Akira;1988;124;tt0094625;8.1
Gangs of Wasseypur;2012;321;tt1954470;8.2
PK;2014;153;tt2338151;8.2
